time_sec,time_nsec,disparity,focal_length_px,x_px,y_px,sensor_y,sensor_x
1745835187.0,0.0,11.769485473632812,1153.9887789999998,753,477,-22.03532007908469,194.13744020831308
1745835191.0,0.0,12.8890625,1153.9887789999998,747,478,-20.95699344475467,177.27416423188262
1745835211.0,500000000.0,21.435404459635418,1153.9887789999998,674.5645955403646,476,-18.89757766756233,106.59457285831229
1745835215.0,500000000.0,24.01414372370793,1153.9887789999998,715,477,-13.428010243467979,95.14800147399123
1745835217.0,500000000.0,25.634452418277142,1153.9887789999998,714,478,-12.5939129510041,89.13386348720628
1745835219.0,500000000.0,27.483139038085934,1153.9887789999998,711,478,-11.896307117456494,83.13816624999076
1745835221.0,500000000.0,28.89891142003676,1153.9887789999998,711,481,-11.265000371778111,79.06518516250371
1745835223.0,500000000.0,30.966034718048878,1153.9887789999998,709,479,-10.574805550896107,73.78722536561077
1745835225.0,500000000.0,34.2929502975109,1153.9887789999998,709,483,-9.452850996769632,66.62878995820448
1745835227.0,500000000.0,36.47275634765625,1153.9887789999998,709,488,-8.82873063782156,62.64669883023052
1745835229.0,500000000.0,40.585523651867376,1153.9887789999998,709,494,-7.8337415209513,56.298344257407884
1745835230.0,0.0,42.83803392493206,1153.9887789999998,709,494,-7.36977138502864,53.33806370348317
1745835232.0,0.0,48.147604299146074,1153.9887789999998,709,490,-6.447881394295762,47.456105359338174
1745835234.0,0.0,52.59586919740189,1153.9887789999998,709,503,-5.81882692236643,43.44253298380452
1745835236.0,0.0,57.420700445407775,1153.9887789999998,708,510,-5.281190831935104,39.79223110648652
1745835238.0,0.0,65.25199286882267,1153.9887789999998,709,516,-4.4982028034984465,35.016521058803114
1745835240.0,0.0,74.10634887695312,1153.9887789999998,708,513,-3.8691811046370708,30.832685958039377
1745835242.0,0.0,89.14645331246513,1153.9887789999998,705,527,-3.1160093430026707,25.63083215897842
1745835244.0,500000000.0,93.32970805107793,1153.9887789999998,696,555,-3.122904435385725,24.481998606162037
1745835246.0,500000000.0,106.7907178795856,1153.9887789999998,685,568,-2.8084216067722094,21.396033548499883
1745835248.0,500000000.0,124.80877965291343,1153.9887789999998,670,592,-2.49802521270683,18.307187913976716
1745835252.0,500000000.0,176.63355460030692,1153.9887789999998,609,656,-2.1584174762543498,12.935808191090038
1745835254.0,500000000.0,214.24050832895134,1153.9887789999998,560,716,-2.0586119328735357,10.665106240840778
1745835255.0,0.0,199.5746642322075,1153.9887789999998,560,716,-2.2826407067211774,11.448836911289971
1745835269.0,500000000.0,277.17007297018296,1153.9887789999998,476,749,-1.9665102805478119,8.243666994545263
1745835271.0,500000000.0,329.8849788120815,1153.9887789999998,485,749,-1.4400475065073641,6.926346845642791
1745835273.0,500000000.0,325.3975585854572,1153.9887789999998,491,749,-1.437050078770411,7.021865168112289
1745835274.0,0.0,351.1754156018867,1153.9887789999998,491,749,-1.2588936728186229,6.506428641947691
1745835276.0,0.0,314.2701057151512,1153.9887789999998,500,750,-1.4662825294500086,7.270490386670726
1745835280.0,0.0,338.01272499084473,1153.9887789999998,510,750,-1.2351711683839872,6.7597981184935785
1745835284.0,0.0,232.53224880630904,1153.9887789999998,500,751,-2.3296951139432194,9.826154411482241
1745835288.0,0.0,309.38146138191223,1153.9887789999998,501,750,-1.4986952397127318,7.38537394003526
1745835290.0,0.0,274.0798239707947,1153.9887789999998,499,750,-1.8336889493879711,8.336614309353443
1745835292.0,0.0,272.88957125345866,1153.9887789999998,498,750,-1.8532606150268898,8.37297582287524
1745835294.0,500000000.0,285.05157301161023,1153.9887789999998,497,751,-1.7388962554325216,8.015734690672748
1745835302.0,500000000.0,348.9511861299214,1153.9887789999998,495,750,-1.2505316309927668,6.547900890554037
1745835306.0,500000000.0,340.6994146149734,1153.9887789999998,498,750,-1.287362792282395,6.706491659230402
1745835311.0,0.0,349.84008314735013,1153.9887789999998,498,750,-1.2278595523307472,6.531263547229427
1745835315.0,0.0,338.37635005604136,1153.9887789999998,497,750,-1.3088491071190484,6.752533922780296
1745835317.0,0.0,313.6786008034983,1153.9887789999998,496,750,-1.4961631242899756,7.284200377606751
1745835319.0,0.0,308.0407319502397,1153.9887789999998,493,751,-1.5609489125726046,7.41751835205059
1745835321.0,0.0,298.1727291555966,1153.9887789999998,496,750,-1.625451025333635,7.663000532914809
1745835323.0,0.0,308.5437134504318,1153.9887789999998,494,750,-1.5503731660293736,7.405426468969601
